data;cod_ibge;densidade
2026-03-01;5103403;0,33
2026-03-01;5103437;1,15
2026-03-01;5103502;0,01
2026-03-01;5103700;0,14
2026-03-01;5103809;0,23
2026-03-01;5103858;0,14
2026-03-01;5103908;0,41
2026-03-01;5103957;0,07
2026-03-01;5104104;0,03
2026-03-01;5104203;0,02
2026-03-01;5104500;8,06
2026-03-01;5104526;0,08
2026-03-01;5104542;0,01
2026-03-01;5104559;0,12
2026-03-01;5104609;0,15
2026-03-01;5104807;0,02
2026-03-01;5104906;1,96
2026-03-01;5105002;0,05
2026-03-01;5105101;0,08
2026-03-01;5105150;0,02
2026-03-01;5105176;0,44
2026-03-01;5105200;0,04
2026-03-01;5105234;4,05
2026-03-01;5105259;0,19
2026-03-01;5105309;0,96
2026-03-01;5105507;0,1
2026-03-01;5105580;0,53
2026-03-01;5105606;0,11
2026-03-01;5105622;2,37
2026-03-01;5105903;0,04
2026-03-01;5106109;2,06
2026-03-01;5106158;0,03
2026-03-01;5106174;0,17
2026-03-01;5106182;0,03
2026-03-01;5106190;0,07
2026-03-01;5106208;0,21
2026-03-01;5106216;0,11
2026-03-01;5106224;0,01
2026-03-01;5106240;0,18
2026-03-01;5106257;0,02
2026-03-01;5106273;0,06
2026-03-01;5106281;0,06
2026-03-01;5106299;0,02
2026-03-01;5106307;1,03
2026-03-01;5106315;0,34
2026-03-01;5106372;0,01
2026-03-01;5106422;0,07
2026-03-01;5106455;0,21
2026-03-01;5106505;2,58
2026-03-01;5106653;0,2
2026-03-01;5106752;0,02
2026-03-01;5106778;3,14
2026-03-01;5106802;0,18
2026-03-01;5106828;0,15
2026-03-01;5106851;0,06
2026-03-01;5107008;0,06
2026-03-01;5107040;0,01
2026-03-01;5107065;0,06
2026-03-01;5107107;5,79
2026-03-01;5107180;0,34
2026-03-01;5107198;0,29
2026-03-01;5107206;10,9
2026-03-01;5107248;0,05
2026-03-01;5107305;0,01
2026-03-01;5107354;3,74
2026-03-01;5107578;0,57
2026-03-01;5107602;0,11
2026-03-01;5107701;0,09
2026-03-01;5107743;0,03
2026-03-01;5107750;3,14
2026-03-01;5107768;0,14
